"id";"empresa";"segmento";"endereco";"contato_publico";"canal";"fonte";"verificacao";"prioridade_sugerida";"hipotese_de_abordagem";"status";"data_pesquisa";"distancia"
"L001";"Sabalk — Comendador Santana";"Estética e odontologia";"Av. Comendador Sant’Anna, 548 — Capão Redondo";"(11) 94700-8436";"WhatsApp";"https://sabalk.com.br/estetica/";"Site próprio consultado";"Alta";"Apresentação dos serviços e registro de pedidos de avaliação";"Não contatado";"2026-09-13";"Não calculada"
"L002";"GiO — Comendador Santana";"Estética";"Av. Ellis Maas, 825 — Capão Redondo";"(11) 94357-2586 / (11) 5873-8143";"Telefones publicados";"https://www.gioesteticaavancada.com.br/unidade/sao-paulo-comendador-santana/";"Site próprio consultado";"Média";"Dúvidas administrativas e pedidos de avaliação; confirmar autonomia da unidade";"Não contatado";"2026-09-13";"Não calculada"
"L003";"Dra. Rosana Odontologia";"Odontologia";"Estr. de Itapecerica, 4079 — Sobreloja — Capão Redondo";"(11) 95454-0182";"WhatsApp";"https://www.drarosana.com/";"Site próprio consultado";"Alta";"Organização de interessados por serviço e encaminhamento à recepção";"Não contatado";"2026-09-13";"Não calculada"
"L004";"MT Odontologia — Capão Redondo";"Odontologia";"Rua Henrique San Midlin, 20 — Capão Redondo";"(11) 96446-7343 / (11) 5872-2887";"Telefones publicados";"https://wwwmtodontologiaespecializada.com/";"Site próprio consultado";"Alta";"Informações sobre especialidades e registro de solicitações";"Não contatado";"2026-09-13";"Não calculada"
"L005";"Mais Odonto — Capão Redondo";"Odontologia";"Rua Henrique Sam Mindlin, 285 — Capão Redondo/Jardim São Bento Novo";"(11) 91718-9266 / (11) 5870-6314";"WhatsApp / telefone";"https://clinicamaisodonto.com.br/";"Site próprio consultado; bairro varia na página";"Alta";"Separar pedidos por unidade e serviço";"Não contatado";"2026-09-13";"Não calculada"
"L006";"Qualimplan";"Odontologia";"Estr. de Itapecerica, 3746 — Capão Redondo";"(11) 95618-8187";"WhatsApp";"https://tratamentos.qualimplan.com.br/";"Site próprio consultado";"Média";"Recepção inicial para diferentes especialidades";"Não contatado";"2026-09-13";"Não calculada"
"L007";"Sialme Odontologia";"Odontologia";"Estr. de Itapecerica, 3777 — Loja 25 — Capão Redondo";"(11) 98906-8312";"Contato publicado; confirmar canal";"https://sialmeodontologia.com.br/";"Dados no resultado indexado do site próprio; abertura direta falhou";"Média";"Dúvidas administrativas e pedidos de avaliação";"Não contatado";"2026-09-13";"Não calculada"
"L008";"Veravita Centro Médico";"Medicina e exames";"Estr. do M’Boi Mirim, 3805 — Jardim Ângela";"(11) 98244-8441";"Telefone / WhatsApp";"https://centromedicoveravita.com.br/";"Site próprio consultado";"Alta";"Informações de funcionamento e registro de pedidos para a recepção";"Não contatado";"2026-09-13";"Não calculada"
"L009";"Centro Médico de Luca";"Medicina";"Rua Henrique San Mindlin, 196 — Jardim do Colégio/Capão Redondo";"(11) 5874-9825";"Telefone; confirmar";"https://www.apontador.com.br/local/sp/sao_paulo/medicina_e_saude_geral_/7399G29Q/centro_medico_de_luca_s_c_jardim_capao_redondo.html";"Diretório consultado; outro diretório informa 5872-4722; validar";"Validar primeiro";"Confirmar contato e responsável administrativo";"Não contatado";"2026-09-13";"Não calculada"
"L010";"Clínica Médica Jardim Angela";"Medicina";"Av. Comendador Santanna, 1932";"(11) 5831-2274";"Telefone; confirmar";"https://ubs.med.br/clinica-medica-jardim-angela-ss-ltda-3645851/";"Somente diretório indexado; abertura direta falhou; validar endereço e operação";"Validar primeiro";"Confirmar existência atual, contato e responsável";"Não contatado";"2026-09-13";"Não calculada"
